,Reaction ID
0,31049438
1,33050175
2,33135074
3,33457370
4,33457377
5,33961964
6,34039104
7,34047386
8,34627617
9,35717906
10,35963701
11,36230897
12,37198268
13,37198907
14,37313200
15,37505471
16,37505704
17,37524824
18,37524835
19,37524857
20,37524859
21,37540404
22,38015079
23,38015084
24,38015089
25,38015121
26,38018013
27,38018015
28,38059069
29,38455676
30,38455692
31,38455693
32,38455694
33,38937341
34,39271988
35,39755111
36,39849960
37,40117590
38,40387660
39,42393284
40,42503983
41,42928589
42,42928611
43,43069685
44,44381115
45,45005003
46,45088168
47,45103963
48,45103980
49,45103981
50,45246723
51,45296688
52,45446581
53,45446619
54,45529940
55,45529941
56,45667098
57,45723705
58,45938411
59,45938441
60,46319906
61,46453321
62,46453330
63,46453335
64,46453339
65,46486215
66,46898335
67,46913226
68,46913338
69,46913340
70,46913341
71,46913342
72,46913344
73,46913363
74,46913371
75,46913406
76,46913409
77,46913412
78,46913443
79,46913450
80,46913451
81,46913481
82,46913482
83,46913484
84,46913485
85,46913486
86,46913488
87,46971937
88,46971943
89,47713573
90,47770094
91,47875542
92,48032880
93,48156749
94,48156751
95,48156752
96,48278317
97,48329309
98,48329417
99,48395058
100,48395061
101,48540085
102,49004162
103,50054846
104,50874951
105,51112186
106,51112187
107,51112189
108,51112213
109,51112215
110,51132227
111,51250557
112,51272846
113,51310396
114,51582353
115,51582364
116,53005882
117,54035286
118,54760761
119,55403053
120,56135411
121,56135422
122,57236175
123,57236184
124,57236196
125,58468017
126,59091494
127,59380979
128,59549425
129,4828213
130,4830197
131,4977790
132,8672914
133,8676059
134,8709652
135,9149893
136,9640793
137,9650930
138,9650931
139,9650932
140,9651390
141,9651391
142,9651392
143,9653442
144,9653443
145,9659761
146,9675587
147,9777989
148,9778821
149,9810355
150,9812862
151,9812943
152,9827138
153,9828720
154,9828915
155,9829183
156,9969787
157,9974342
158,10054573
159,10141490
160,10144607
161,10242744
162,10242841
163,10289620
164,10322860
165,10365395
166,10399085
167,10502441
168,10504780
169,10711053
170,11040119
171,11040120
172,11040121
173,11040130
174,11061164
175,11070081
176,11070091
177,11109313
178,11109321
179,11133438
180,11133442
181,11147228
182,11175750
183,11175757
184,11232541
185,11235579
186,11235602
187,11235603
188,11235607
189,11235612
190,25931603
191,25953521
192,25955748
193,26005421
194,26021769
195,26021770
196,26040170
197,28509788
198,28595867
199,28601889
200,28728568
201,28835089
202,28915494
203,29174339
204,29432866
205,29597335
206,29780622
207,29917846
208,30527440
209,30944697
210,31049381
211,31592748
212,31657434
213,33961971
214,34720320
215,35362587
216,35573539
217,35757402
218,35757453
219,35963711
220,36230885
221,36230900
222,36271797
223,36462435
224,37199002
225,37716309
226,38004129
227,38015078
228,38015081
229,38015090
230,38017863
231,38059075
232,38204123
233,38455716
234,38581247
235,38581256
236,38581259
237,38581262
238,38581265
239,38581268
240,38581302
241,38712651
242,39161987
243,39162004
244,39211250
245,39386632
246,39849964
247,39849972
248,40075380
249,40087345
250,40511848
251,40511850
252,40511856
253,40511864
254,40704151
255,40704153
256,40704155
257,40807004
258,41056986
259,41331401
260,41675287
261,42205900
262,42365062
263,43069682
264,43069701
265,43069703
266,44030908
267,44030930
268,45088166
269,45088167
270,45103968
271,45103978
272,45103984
273,45446576
274,45446596
275,45504858
276,45667099
277,45677716
278,45919012
279,46230282
280,46453325
281,46453326
282,46453331
283,46453332
284,46453340
285,46453342
286,46882051
287,46913337
288,46913345
289,46913411
290,46913413
291,46913446
292,46913447
293,46971919
294,46997924
295,47490042
296,47817342
297,47817343
298,47817345
299,47817347
300,47817349
301,47817351
302,47817352
303,47817353
304,47817355
305,47817360
306,47817361
307,48032883
308,48075041
309,48261022
310,48278314
311,49146363
312,49160840
313,49247581
314,50574749
315,50614608
316,50762309
317,51582355
318,52150730
319,52839480
320,53005879
321,53005880
322,53005883
323,53153775
324,54438039
325,54760759
326,54760760
327,55166624
328,56911917
329,56911918
330,57236414
331,59498688
332,4828247
333,8705385
334,8705386
335,8738713
336,8894207
337,8926589
338,8940353
339,9200469
340,9309901
341,9649546
342,9662199
343,9787264
344,9810350
345,10139158
346,10159196
347,10369632
348,10369687
349,10392458
350,10392474
351,10399153
352,10414310
353,10495969
354,10502170
355,10504779
356,11032693
357,11040122
358,11040123
359,11040125
360,11040126
361,11040133
362,11045401
363,11070086
364,11133449
365,11147227
366,11151925
367,11174245
368,11187158
369,11235613
370,11239757
371,11239768
372,23411857
373,25998156
374,26005438
375,26005441
376,26040163
377,26040164
378,26040166
379,28211234
380,28220835
381,28311409
382,28311414
383,28660102
384,28763064
385,29059710
386,29077147
387,29280316
388,29280317
389,29280327
390,29280329
391,29280330
392,29280332
393,30034024
394,30036092
395,30036101
396,30201890
397,31039432
398,31379688
399,31496091
400,31496116
401,32435766
402,32435767
403,32435769
404,32435770
405,32435771
406,32435772
407,32435773
408,32435843
409,32435844
410,32435845
411,32435846
412,32435847
413,32435871
414,34039116
415,34047385
416,34651147
417,34720321
418,35963712
419,36230889
420,37152557
421,37566267
422,37668932
423,38004130
424,38059071
425,39161971
426,39162003
427,39349406
428,39436495
429,39849958
430,40372578
431,40511846
432,42022471
433,44448690
434,45103972
435,45103974
436,45103975
437,45103983
438,45103985
439,45246672
440,46453341
441,46898336
442,46898337
443,46898338
444,46898340
445,46898341
446,46898345
447,47713603
448,47875541
449,48278351
450,48746663
451,51310385
452,53005881
453,53751959
454,54472171
455,55680415
456,55765425
457,56368119
458,58934784
459,58934790
460,58934792
461,58934793
462,58934794
463,58934798
464,58934800
465,58934806
466,58934807
467,58934808
468,58934809
469,58934810
470,58934811
471,58934818
472,58934844
473,58934846
474,59380980
475,59380989
476,59549388
477,4828262
478,8863010
479,8866255
480,8894205
481,9177171
482,9239748
483,9679701
484,9771224
485,9815077
486,9822368
487,9825429
488,9827238
489,9932560
490,9954063
491,9971607
492,10046638
493,10046639
494,10046640
495,10068061
496,10068062
497,10068063
498,10144615
499,10290938
500,10322701
501,10322702
502,10326286
503,10368040
504,10368920
505,10369816
506,10369829
507,10386784
508,10419423
509,10457905
510,10502171
511,10502440
512,11032694
513,11040124
514,11040132
515,11087018
516,11087023
517,11109312
518,11109318
519,11133443
520,11223103
521,11235554
522,11235589
523,11235610
524,11235614
525,11239763
526,11239764
527,11243683
528,11243685
529,26005440
530,26021747
531,26040158
532,26040159
533,26040161
534,26040165
535,26051573
536,28220826
537,28220832
538,28220833
539,28311404
540,28311413
541,28551090
542,28642561
543,28886824
544,29077244
545,29095844
546,29280315
547,29280318
548,29280321
549,29280325
550,29819347
551,30036106
552,31029575
553,31496026
554,31530075
555,31530090
556,31593364
557,31657433
558,32435775
559,32808778
560,33050059
561,33135072
562,33260978
563,33598941
564,33802376
565,38059102
566,38936310
567,39849934
568,39849969
569,40704160
570,40704163
571,41575595
572,45103956
573,45103966
574,45103977
575,45103982
576,45296647
577,45938620
578,46828678
579,46898339
580,46898342
581,46898343
582,46898344
583,46898346
584,47304687
585,47875546
586,47901012
587,48156746
588,48278318
589,48278319
590,48278339
591,48278352
592,48278353
593,48278356
594,48725065
595,49247624
596,50132071
597,50614607
598,51331286
599,51582376
600,53961900
601,54035288
602,54035306
603,54636520
604,54725716
605,54888727
606,55288149
607,55587467
608,56121469
609,57273851
610,58452091
611,58934782
612,58934783
613,58934787
614,58934796
615,58934799
616,58934812
617,58934815
618,58934816
619,58934817
620,58934850
621,58934852
622,58934853
623,58934855
624,59091585
625,59091592
626,8705383
627,8742150
628,8769615
629,8935667
630,8939834
631,8940604
632,8941681
633,8941901
634,8961111
635,9189268
636,9237565
637,9269805
638,9654379
639,9766527
640,9799277
641,9804368
642,9804412
643,9810483
644,9810503
645,9810533
646,9898763
647,9951136
648,10049283
649,10144608
650,10144614
651,10325069
652,10369668
653,10386792
654,10455372
655,10455653
656,10497983
657,10497985
658,11032695
659,11045404
660,11045405
661,11070085
662,11087022
663,11109309
664,11109314
665,11109320
666,11133441
667,11225166
668,11239758
669,11273508
670,26005437
671,26014496
672,26051576
673,27944640
674,27973813
675,28196878
676,28196881
677,28196906
678,28196907
679,28196909
680,28196911
681,28229981
682,28229982
683,28229999
684,28642558
685,28642560
686,28893863
687,28893882
688,28893883
689,28893885
690,28893887
691,28893889
692,28893894
693,28894390
694,28894399
695,29125118
696,29125119
697,29129369
698,29204370
699,29204379
700,29280322
701,29280323
702,29280324
703,29819345
704,30036103
705,30036105
706,30036107
707,30455876
708,30527433
709,30527435
710,31029579
711,31029582
712,31496024
713,31593365
714,32435804
715,32435872
716,32801139
717,33802377
718,33906202
719,34047298
720,34720324
721,35102478
722,35492330
723,35492331
724,35573537
725,35573538
726,36073727
727,36123410
728,37081617
729,37642685
730,37668917
731,37668918
732,37668920
733,37668921
734,37668927
